sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
masculino;comercio;fabrica_de;prado;3;10;13/07/2018;5000000;microempresarial
femenino;servicio;recreativo_educativo;barrio_caicedo;1;9;30/10/2017;6000000;microempresarial
femenino;comercio;tienda;aranjuez;2;4;3/08/2017;7300000;microempresarial
masculino;comercio;variedades;cabecera_san_cristobal;3;60;20/11/2017;7000000;microempresarial
femenino;comercio;fabrica_de;robledo;2;7;23/02/2017;5000000;microempresarial
femenino;comercio;variedades;picachito;1;6;31/05/2017;7000000;microempresarial
femenino;industria;fabrica_de;guayabal;3;15;20/02/2016;2000000;microempresarial
femenino;comercio;tienda;carpinelo;1;1;14/02/2017;3300000;microempresarial
masculino;comercio;variedades;belalcazar;2;5;7/05/2018;7800000;microempresarial
femenino;comercio;variedades;manrique_central_no_1;1;4;3/05/2018;7800000;microempresarial
femenino;industria;fabrica_de;manrique_central_no_2;2;3;28/02/2017;4500000;microempresarial
masculino;agropecuaria;sembrados;santa_elena_central;2;90;23/12/2016;13000000;agropecuaria
femenino;comercio;comidas_rapidas;andalucia;2;2;12/04/2018;7800000;microempresarial
masculino;industria;fabrica_de;san_javier_no1;1;13;23/08/2018;4000000;microempresarial
masculino;servicio;variedades;belencito;2;13;30/07/2018;7800000;microempresarial
masculino;comercio;miscelanea;centro_admtivo;3;10;14/02/2018;1000000;microempresarial
femenino;comercio;variedades;cabecera_san_antonio;2;80;16/11/2017;7000000;microempresarial
femenino;servicio;cafe_e_internet;manrique_central_no_1;3;4;29/04/2019;8000000;microempresarial
masculino;comercio;tienda;villa_hermosa;3;8;27/06/2018;5000000;microempresarial
femenino;comercio;venta_de_calzado;playon_de_los;2;2;27/02/2017;7000000;microempresarial
femenino;comercio;productos_de_belleza;buenos_aires;3;9;24/07/2017;7300000;microempresarial
masculino;comercio;tienda;manrique_central_no_1;2;4;14/09/2018;6000000;microempresarial
femenino;comercio;tienda;popular;2;1;11/10/2018;6000000;microempresarial
femenino;comercio;almacen_de_ropa_en;robledo;2;7;15/02/2018;6000000;microempresarial
femenino;comercio;variedades;tricentenario;3;5;20/11/2017;4000000;microempresarial
masculino;servicio;barberia;calasanz;2;12;26/09/2017;7377000;microempresarial
masculino;industria;fabrica_de;aranjuez;3;4;24/10/2016;6500000;microempresarial
femenino;comercio;comidas_rapidas;buenos_aires;2;9;28/06/2019;1500000;microempresarial
masculino;comercio;variedades;andalucia;2;2;17/08/2018;7800000;microempresarial
femenino;servicio;peluqueria;pedregal;3;6;27/10/2017;7300000;microempresarial
femenino;servicio;jardineria;la_francia;2;2;12/06/2017;7377000;microempresarial
femenino;comercio;variedades;santa_cruz;2;2;14/06/2017;4000000;microempresarial
femenino;comercio;tienda;san_javier_no1;2;13;6/02/2018;7800000;microempresarial
femenino;comercio;variedades;la_floresta;3;12;5/09/2017;7300000;microempresarial
femenino;comercio;variedades;belen;3;16;16/09/2016;6890000;microempresarial
masculino;comercio;tienda;las_brisas;3;5;15/01/2018;6000000;microempresarial
femenino;comercio;peluqueria;castilla;3;5;11/08/2017;2500000;microempresarial
masculino;industria;fabrica_de_alimentos;san_javier_no1;2;13;27/10/2016;6800000;microempresarial
